time,x,y,vx,vy,V,mass,spin,rho,temp,pressure,heat_flux,rcs_X,rcs_S,rcs_L,rcs_OTH
0.0,0.0,0.0,900.0,200.0,921.9544457292888,900.0,0.0,1.2250122659906946,288.15,101325.0,158726.5939305385,0.10004,0.10004,0.10004,0.10004
0.09004502251125562,80.83530221535,17.92369732314743,895.4509651632583,198.10799342812672,917.1037062796821,899.927963981991,0.0009200210540432129,1.2229048287889028,288.0334959673995,101109.78960916887,156099.95049704533,0.10008600104621264,0.10008600104621264,0.10008600104621264,0.10008600104621264
0.18009004502251125,161.26342543353908,35.677769930400075,890.955931019781,196.23239477138029,912.3100480522154,899.855927963982,0.0018352906544603542,1.220820071621358,287.91809449545235,100896.98097868476,153533.9045357109,0.10013176448120807,0.10013176448120807,0.10013176448120807,0.10013176448120807
0.27013506753376687,241.28922115137593,53.26369078493789,886.513870300631,194.3728930346599,907.5724013995067,899.783891945973,0.0027458650284930635,1.2187577413924064,287.80378600989786,100686.54561647118,151026.66276727276,0.10017729307889803,0.10017729307889803,0.10017729307889803,0.10017729307889803
0.3601800900450225,320.9174867033438,70.68291471000684,882.1237703011258,192.52918183567903,902.8897119740535,899.7118559279639,0.0036517997827470172,1.2167175889000073,287.69056105438494,100478.4554915643,148576.49067301452,0.10022258958331186,0.10022258958331186,0.10022258958331186,0.10022258958331186
0.4502251125562781,400.1528028673092,87.9368349168552,877.7846838375885,190.70097431092137,898.2609936889111,899.639819909955,0.004553148052176737,1.2146993738773784,287.5784105730404,100272.68354645194,146181.7366663702,0.1002676566160094,0.1002676566160094,0.1002676566160094,0.1002676566160094
0.5402701350675337,478.9996727355516,105.02682124446437,873.4956848049935,188.88799000185972,893.6852824903671,899.567783891946,0.005449962085134157,1.212702860457179,287.46732566191093,100069.20323232209,143840.80614584064,0.10031249675529832,0.10031249675529832,0.10031249675529832,0.10031249675529832
0.6303151575787893,557.4625307979662,121.95422263359936,869.2558652913428,187.08995400629036,889.1616333566564,899.4957478739369,0.006342293346987525,1.210727816841264,287.35729755288156,99867.98847380285,141552.15806630164,0.10035711254138072,0.10035711254138072,0.10035711254138072,0.10035711254138072
0.720360180090045,635.5457429420642,138.72036712680858,865.0643355776663,185.30659697833315,884.6891202971356,899.423711855928,0.00723019252012139,1.2087740152615363,287.24831761367574,99669.01366344708,139314.30311294144,0.10040150647632047,0.10040150647632047,0.10040150647632047,0.10040150647632047
0.8104052026013007,713.2536064529725,155.3265618684241,860.9202241380209,183.53765512843145,880.2668363512869,899.351675837919,0.008113709503936611,1.206841231941563,287.14037734785524,99472.25365632975,137125.80194195436,0.1004456810240114,0.1004456810240114,0.1004456810240114,0.1004456810240114
0.9004502251125562,790.5903500134334,171.77409310456142,856.8226776394916,181.78287022335218,875.8938935875443,899.2796398199099,0.008992893414850354,1.2049292470589459,287.0334683948203,99277.68376475631,134985.2634854174,0.10048963861014651,0.10048963861014651,0.10048963861014651,0.10048963861014651
0.9904952476238118,867.5601337038057,188.06422618311962,852.7708609421909,180.04198958618582,871.5694231019338,899.207603801901,0.009867792586296088,1.2030378447084256,286.9275825298097,99085.27975307926,132891.34331787293,0.10053338162218856,0.10053338162218856,0.10053338162218856,0.10053338162218856
1.0805402701350675,944.1670490020634,204.19820555378132,848.7639570992585,178.31476609634632,867.2925750165203,899.1355677838919,0.010738454568723597,1.2011668128657087,286.8227116639004,98895.0178326208,130842.7420822404,0.10057691240934137,0.10057691240934137,0.10057691240934137,0.10057691240934137
1.1705852926463232,1020.4151187837966,220.1772547680127,844.8011673568624,176.60095818957117,863.0625184776547,899.0635317658829,0.011604926129598962,1.1993159433520033,286.7188478440079,98706.87465669982,128838.20397277107,0.10062023328252244,0.10062023328252244,0.10062023328252244,0.10062023328252244
1.2606303151575786,1096.3082973222108,236.0025764790633,840.8817111541975,174.9003298579215,858.8784416540103,898.991495747874,0.012467253253404583,1.197485031799261,286.61598325288605,98520.82731576172,126876.51527285107,0.10066334651433623,0.10066334651433623,0.10066334651433623,0.10066334651433623
1.3506753376688343,1171.850470288128,251.67535244196642,837.0048261234869,173.2126506497818,854.739551734405,898.9194597298649,0.013325481141639154,1.1956738776160925,286.5141102091272,98336.85333260761,124956.50294554177,0.10070625433904867,0.10070625433904867,0.10070625433904867,0.10070625433904867
1.44072036018009,1247.0454547499853,267.1967435135388,833.1697680899805,171.53769566986028,850.6450749253988,898.8474237118559,0.014179654212817687,1.1938822839543688,286.41322116716196,98154.93065772268,123077.03327483218,0.10074895895256263,0.10074895895256263,0.10074895895256263,0.10074895895256263
1.5307653826913457,1321.8969991738359,282.56788965238076,829.3758110719566,169.87524557918854,846.5942564486576,898.7753876938469,0.015029816102471494,1.192110057676469,286.3133087172595,97975.03766470012,121237.01055565456,0.10079146251239397,0.10079146251239397,0.10079146251239397,0.10079146251239397
1.6208104052026013,1396.4087834233487,297.78990991887594,825.6222472807208,168.22508659512178,842.5863605380779,898.7033516758379,0.0158760096631482,1.1903570093231937,286.2143655855273,97797.1531457608,119435.37583079592,0.10083376713764891,0.10083376713764891,0.10083376713764891,0.10083376713764891
1.7108554277138568,1470.5844187598084,312.8639024751918,821.9083871206061,166.58701049133873,838.6206704366626,898.6313156578288,0.01671827696441173,1.1886229530823038,286.11638463391125,97621.2563073647,117671.1056729074,0.10087587490900202,0.10087587490900202,0.10087587490900202,0.10087587490900202
